Platform,Year_of_Release,User_Score
Wii,2006,8
NES,1985,
Wii,2008,8.3
Wii,2009,8
GB,1996,
GB,1989,
DS,2006,8.5
Wii,2006,6.6
Wii,2009,8.4
NES,1984,
DS,2005,
DS,2005,8.6
GB,1999,
Wii,2007,7.7
X360,2010,6.3
Wii,2009,7.4
PS3,2013,8.2
PS2,2004,9
SNES,1990,
DS,2005,7.9
DS,2006,
GB,1989,
NES,1988,
X360,2013,8.1
PS2,2002,8.7
GBA,2002,
DS,2005,7.1
DS,2010,
PS2,2001,8.4
X360,2011,3.4
GB,1998,
PS4,2015,
X360,2010,6.3
3DS,2013,
PS3,2012,5.3
X360,2012,4.8
X360,2009,6.3
PS3,2011,3.2
PS2,2001,8.5
Wii,2008,8.9
3DS,2011,8.2
PS3,2010,6.4
PS4,2014,8.3
DS,2005,8.7
X360,2007,7.8
N64,1996,
DS,2009,
3DS,2014,
PS2,2004,8.5
Wii,2007,8.9
GB,1992,
X360,2008,7.9
PS,1997,8.7
3DS,2011,8.4
PS3,2010,7.5
PS3,2009,6.3
SNES,1993,
PS3,2008,7.5
GBA,2004,
DS,2004,
X360,2013,2.6
Wii,2011,7.8
3DS,2012,7.2
N64,1996,
X360,2010,7.9
PS,1997,9.2
X360,2012,7
PS,1999,9
Wii,2010,7.3
PS3,2013,2.6
X360,2007,8.4
SNES,1994,
X360,2013,
3DS,2012,8.7
DS,2007,7.8
X360,2011,8.4
SNES,1992,
PS4,2015,4.3
XB,2004,8.2
Wii,2010,7.4
Wii,2007,6.3
PS3,2012,6.6
N64,1997,
DS,2012,
PS2,2001,8.7
PC,2009,7.6
Wii,2007,
PS4,2015,
PS,1999,8.6
2600,1982,
DS,2008,8.5
PSP,2005,7.6
PS4,2014,5.7
N64,1998,
PS4,2016,5
PS,1997,
3DS,2014,
Wii,2010,9.1
NES,1988,
XOne,2015,
X360,2008,7.6
X360,2011,7.4
PS2,2003,8.6
Wii,2009,8
PS3,2011,7.5
PS4,2015,6.5
PS,1998,9.1
Wii,2006,9
3DS,2016,
PS,1998,8.9
WiiU,2014,9.1
GC,2001,9.1
GC,2003,
PS2,2004,8.6
PS2,2002,8.5
PS,1996,
Wii,2012,7.3
X360,2008,7.7
PS3,2011,8.3
Wii,2010,tbd
PS3,2007,8.4
PS3,2009,8.8
PS3,2011,
DS,2005,7.4
NES,1986,
PS3,2010,8.8
PS3,2013,4.3
PS3,2012,6.9
Wii,2010,8.6
XB,2001,8.6
PS3,2011,6.4
GBA,2004,9
PS2,2002,8.8
GB,2000,
X360,2009,7.1
X360,2010,9
GC,2002,8.6
SNES,1992,
PC,2004,7.3
PS,1999,8.1
X360,2011,7.8
X360,2010,7.4
X360,2006,8.3
PS4,2014,5.7
PS2,2001,8.7
GEN,1992,
PS,1998,9.4
PS3,2008,8.7
PS2,2006,7.6
PS3,2013,9.1
PS3,2008,6.8
PS,1998,9.2
DS,2009,8.8
PS,1996,8.9
PS4,2014,6.1
Wii,2007,8.9
DS,2006,7.2
NES,1988,
N64,1999,
PS3,2009,8.6
X360,2007,7.7
X360,2009,8
GBA,2001,7.8
PSP,2008,8.7
PS3,2011,8.6
XOne,2014,7.9
GBA,2001,8.3
GBA,2001,
N64,1999,
PS2,2001,7.1
PS3,2008,7.6
PS4,2016,7.9
GB,1989,
PS3,2009,7.3
GB,1999,
PS,2000,8.9
X360,2012,6.7
PS2,2003,6.6
N64,1999,
XOne,2014,5.4
PS3,2014,
X360,2009,8.8
PS,1997,
PS2,,8.5
3DS,2013,
WiiU,2012,8.1
PS2,2004,8.8
GBA,2003,
DS,2007,8.6
GB,1994,
X360,2012,6.1
SNES,1995,
PC,2012,4
PS2,2003,7.6
GB,1992,
PC,1996,
PS2,2006,8.5
X360,2010,6.5
DS,2008,
PS3,2009,7.5
DS,2007,8
GB,1999,
PS3,2010,8
PS,1996,9
PSP,2006,8
PS,1999,9.2
PS,1999,
PS,1998,
PS2,2007,8.2
Wii,2007,7.1
DS,2007,
X360,2008,8.5
PS3,2007,8.1
PS2,2005,8
N64,1997,
PSP,2010,
WiiU,2014,
NES,1990,
PC,2010,8.2
PS3,2007,7.3
PS3,2010,8.7
PS,1999,9
DS,2007,5.4
PS,2000,7.7
X360,2011,8.7
PS4,2014,
PS2,2003,
PS,2000,7.7
PS2,2002,8.2
PS,1996,8.6
Wii,2008,7.6
PS4,2015,8.1
SNES,1991,
GC,2002,8.9
Wii,2007,8.4
3DS,2013,8.4
X360,2011,8.2
Wii,2009,
PS2,2004,7.9
X360,2007,7.9
2600,1981,
PS2,2006,8.2
XOne,2015,6.4
PS2,2002,7.9
PS,2000,
PS4,2016,3.4
PS2,2005,8.9
WiiU,2015,8.5
WiiU,2012,7.9
PS2,2001,7.5
PS2,2006,8.9
X360,2006,8.7
NES,1987,
PS2,2005,9.1
Wii,2010,8.3
PS3,2014,4.8
PS3,2006,8.1
GEN,1991,
PS2,2005,9
3DS,2011,
WiiU,2013,9
PS4,2014,
2600,1980,
X360,2014,4.9
PS3,2014,4.5
X360,2008,6.5
GBA,2001,7.3
PS3,2009,8.9
PS2,2004,9.3
PS3,2011,7.5
XOne,2015,6.2
X360,2013,4.2
PSP,2006,8.7
PC,1995,
PS2,2005,7.8
PS2,2003,7.5
PS3,2007,7.1
X360,2011,7.2
X360,2011,
NES,1989,
PS3,2009,7.3
NES,1984,
PS,1997,
PS2,2002,7.7
PC,1997,9.1
SNES,1995,
PS2,2006,
SNES,1992,
PC,2007,7.9
PS4,2016,8.4
PS2,2007,8.9
PS2,2005,8.2
X360,2010,8.1
X360,2007,8.3
Wii,2007,6
PS4,2014,6.3
PS,1996,
PS2,2000,8.5
PS4,2014,7.7
N64,1997,
NES,1984,
PS2,2005,tbd
X360,2009,8.6
PS4,2015,9.2
PS4,2014,4.9
PS4,2015,7.6
Wii,2011,8
PS3,2008,8
DS,2007,8.8
GB,1994,
Wii,2009,8.7
PS2,2003,8.7
3DS,2014,8.7
PC,2011,8.1
PS4,2015,6.7
PS2,2005,8.6
NES,1988,
PS3,2006,7.4
3DS,2011,
PS2,2004,9.1
PS3,2010,7.9
PS,1995,
GB,1992,
PS4,2013,3.7
DS,2007,4
PS4,2016,7
Wii,2007,6.9
PS,1996,
DS,2009,
X360,2008,7.5
PC,2002,8
PSP,2007,
PS,2001,7.5
Wii,2011,
PS,1999,
Wii,2007,7.9
PS,2000,8.8
PS3,2013,8.1
PS2,2004,7.6
GB,1998,
DS,2009,
PS2,2002,8.5
XOne,2015,
DS,2007,7.3
PSP,2005,8.4
N64,1998,
PS2,2002,7.9
PS2,2001,8.7
N64,1999,
PS2,2007,7.9
PS2,2005,8.9
Wii,2008,7.6
PS3,2009,7.6
PS2,2004,8.7
PC,1994,
PS2,2001,7.7
GC,2001,8.5
PS4,2013,6.9
PS2,2005,9
Wii,2013,6.2
DS,2007,8
PS,2000,
PS,1997,
PS2,2006,7.8
PS2,2002,6.8
PS,1997,
PS2,2001,7.9
PS2,2005,
PS,2000,
X360,2010,7.5
PS,1999,
X360,2008,7.9
SNES,1996,
XOne,2014,4.1
NES,1985,
X360,2009,7.5
X360,2010,8.3
PS2,,6.4
PS3,2013,5.8
X360,2009,8.7
X360,2013,5.6
X360,2010,8.6
DS,2009,
DS,2008,8.8
DS,2006,8.4
3DS,2013,
X360,2009,8.2
PS2,2002,8.3
SNES,1994,
PS,1998,8
PS4,2015,8.2
PS2,2004,8.9
GB,1990,
PS2,2002,6.7
PS3,2011,8.4
PS,2000,8.2
PS4,2015,6.8
X360,2008,7.9
XOne,2014,5.5
PS,1998,
N64,2000,
PS3,2012,8.5
PS,1998,
DS,2006,
PS2,2002,8.5
PS2,2002,
3DS,2015,
PS2,2005,7.2
DS,2009,7.8
PS2,2001,8.5
X360,2013,7.9
PS2,2003,8.7
3DS,2014,
XOne,2015,7.5
PS2,2003,8
DS,2008,9.2
PSP,2009,
XOne,2015,4.4
Wii,2008,4.6
PS,1995,
PS4,2015,5.9
PS3,2013,7.7
XOne,2014,7.2
PS,1999,
WiiU,2015,8.7
PS,2000,
NES,1983,
SNES,1995,
SNES,1995,
PSP,2008,8.6
PS2,2003,8.1
PSP,2007,8
X360,2010,7.6
PS3,2011,7.7
PS2,2001,9.1
GC,2001,8.9
PS2,2007,6.5
DS,2008,8
PS,2000,9
Wii,2012,6.8
PS,1998,
N64,1999,
DS,2005,8.5
NES,1990,
DS,2008,9
PS3,2010,7.8
DS,2006,7.8
PS3,2007,8
3DS,2013,8.9
PS3,2012,5.4
X360,2010,8.9
PS2,2002,7.9
PS2,2001,7.9
NES,1986,
GB,1994,
PC,2002,7.8
Wii,,7.9
3DS,2015,6.9
PC,2014,3.9
X360,2012,8.2
DS,2008,8
X360,2008,7.4
X360,2012,5.8
PS3,2010,7.7
PS,1995,
X360,2008,8.1
XB,2002,8.5
NES,1987,
PS2,2002,
PS4,2013,6.3
PS3,2009,8.1
X360,2012,8.6
Wii,2010,7
X360,2012,7.2
PS2,2007,9.2
PS2,,
SNES,1993,
PC,2000,6.6
PS2,2002,9.1
PS2,2001,8.5
PC,2011,5.9
PS4,2014,8.1
PS2,2003,7.8
PS2,2002,7.8
XOne,2014,6.4
PS3,2010,8.5
N64,1996,
PS2,2003,9
PS2,2005,
GBA,2001,7.8
X360,2009,7.3
PS3,2009,8.3
DS,2008,8.8
XOne,2013,4.3
X360,2014,4.2
GBA,2002,
X360,2007,8.7
PS2,2004,8.6
PS2,2003,9
X360,2008,6.8
PS2,2001,8.9
Wii,2007,5.3
PS2,2004,7.7
Wii,2006,7.4
PS,1999,
DS,2007,7.7
PS,1998,
X360,2012,5.8
XB,2002,8.7
PS4,2013,7.8
PC,1996,
SNES,1990,
N64,1997,
PS3,2011,8.4
X360,2009,6.1
PS2,2002,
X360,2007,8.9
GC,2002,9.3
PS3,2010,8.2
GBA,2003,7
Wii,2011,tbd
PC,1994,
PS3,2010,7.5
PS3,2012,
DS,2007,7.6
PS2,2003,
PS,1997,
PS,1998,
PS2,2001,
PS4,2014,7.9
SNES,1992,
PS,1996,
3DS,2011,
PS2,2001,8.6
PS2,2003,8.2
PS2,2003,
PS3,2010,7.2
Wii,2011,5.6
PC,2011,7.5
PS4,2015,7.7
PS2,2003,7.7
PS3,2011,7.9
X360,2008,6.7
XOne,2014,
DS,2006,7.4
X360,2011,7.6
2600,1980,
SNES,1992,
PS3,2009,7.4
N64,2000,
NES,1986,
Wii,2007,6.6
PS3,2015,3.2
GBA,2002,9.1
PS2,2001,8.2
N64,1998,
X360,2011,7.8
X360,2006,6.5
X360,2011,5.9
PS2,2006,9
PS4,2013,6.8
X360,2010,5.7
PS2,2004,9.1
3DS,2014,
GEN,1992,
DS,2010,7.7
DS,2009,8.7
PS2,2005,8.2
PS,1998,8.6
XB,2004,8.5
X360,2008,6.3
XOne,2016,5.5
DS,2006,6.7
PS2,2003,7.7
NES,1986,
PS3,2009,6.9
N64,1996,
PSP,2006,7.9
PS3,2011,6.6
PS2,2000,7.8
X360,2010,8
PS2,2004,8.2
X360,2009,7.2
X360,2011,7.7
PSP,2006,
X360,2009,7.5
X360,2010,6.7
PS2,2002,7.6
GEN,1990,
PS3,2009,8.7
PS2,2004,8.1
Wii,2007,8
PS3,2008,7.5
DS,2008,7.7
PS2,2006,8.6
X360,2007,7.4
PS2,2004,
PS2,2007,7.8
PSP,2007,8.7
PS3,2007,
Wii,2010,
GC,2001,8.3
NES,1987,
X360,2009,
PS3,2012,5.5
X360,2009,7.9
GC,2003,8
PSP,2009,7.8
X360,2008,7
2600,,
PS2,2001,7.9
DS,2010,8
X360,2013,4.9
N64,2000,
Wii,2012,7
NES,1986,
Wii,2008,5.4
PS2,2008,
N64,1999,
X360,2006,7.5
XB,2003,
PS2,2002,8.8
Wii,2007,4.3
PS4,2015,8.6
PS,1998,
GC,2002,7.4
X360,2008,7.7
X360,,8.2
PS3,2012,8
PS3,2011,7.7
PS3,2008,6.1
PS4,2014,7
SNES,1992,
PS,1997,8.2
PS3,2008,8.2
PS,1996,
PS2,2003,8.4
PC,1997,
Wii,2010,8
PS4,2015,
XOne,2016,3.1
XOne,2015,6.1
NES,1988,
DC,1998,
X360,2008,7.8
Wii,2010,tbd
PS3,2013,
PSP,2006,7.9
PS2,2003,8.2
PS3,2010,6.8
PS2,2001,8.4
PS,1998,
PS2,2007,6.2
X360,2011,8.1
PS,1996,
NES,1987,
PC,1997,9
GBA,,tbd
PC,1994,
GEN,1993,
PS2,2005,8.7
PS3,2010,6.1
N64,1998,
PS2,2001,
X360,2011,6.9
PC,2004,9.1
PS2,2004,7.6
X360,2007,6.4
PS2,2004,8.8
X360,2010,5.5
PS3,2009,6.8
GB,1995,
X360,2008,8.5
GB,1996,
GB,1998,
X360,2011,2.9
PS2,2007,7.2
3DS,2015,9
Wii,,6.6
PS2,2001,8.4
XOne,2015,6.2
X360,2011,6.5
Wii,2008,8.6
N64,2000,
PS,1997,
PS2,2004,9.1
PS,1999,8.5
SNES,1995,
PC,2012,7.9
PS,1998,
3DS,2012,5.6
DS,2004,
PS3,2013,7.7
PC,1997,8.3
3DS,2015,
PS3,2007,6.7
XB,2004,8.7
PS3,2009,6.7
NES,1983,
PS2,2008,6.9
DS,2010,7.2
X360,2010,7.1
DS,2008,8.2
PS,1997,
PS3,2011,6.6
GBA,2002,8.9
GBA,2001,8.9
PS3,2009,8.6
PS4,2016,6.3
XOne,2016,8.2
PS2,2002,9
PS,1997,
GC,2004,9.4
PS3,2011,5.5
PS3,2013,7.5
PS3,2007,7.8
GBA,2001,8.1
Wii,2006,5.7
Wii,2010,tbd
Wii,,6.7
WiiU,2013,7.9
XOne,2013,7.4
GBA,2001,8
PSP,2008,8
X360,2013,5.6
NES,1990,
PS2,2009,tbd
PS3,2012,8.2
PS2,2003,8.8
Wii,2009,8.6
X360,2013,7.6
GB,1998,
Wii,2007,
PS4,2015,7.3
PS3,2008,6.6
PS2,2006,
2600,1981,
X360,2007,8.1
XOne,2013,5.9
X360,2008,8.3
NES,1986,
GB,2000,
X360,2010,7
DS,2008,7.9
X360,2010,8.2
DS,2007,
XB,2003,9.2
GB,1992,
GB,2000,
PS4,2014,6.1
PS3,2011,6.6
X360,2006,7.5
GB,2000,
PS2,2002,8.9
XOne,2014,5.4
GBA,2003,
N64,1998,
NES,1984,
XOne,2016,6.9
X360,2010,6.3
PC,2001,7.9
DS,2009,7.6
Wii,2008,7.3
PS,2000,
DS,2006,7.6
NES,1987,
Wii,2013,6.6
PS4,2016,6.1
PS3,2012,7.5
PC,1992,
NES,1988,
SNES,1996,
NES,1983,
2600,1981,
PSP,2007,7.5
PS2,2004,9
GBA,2003,7.8
Wii,2009,5.2
XB,2001,8.2
GB,1989,
PS3,2011,6.7
N64,2000,
PS2,2002,8.5
PS3,2008,
PS2,2003,9.3
PS3,2013,4.9
PS,1998,8.9
DS,2006,8.7
XB,2002,
PS2,2002,
PS4,2015,5
X360,2011,8.3
PS3,2009,7.9
PS2,2005,9
PS,1997,
X360,2010,8.1
PS2,2003,
PS4,2015,7.9
3DS,2013,
X360,2006,7.6
PC,2010,5.6
PS2,2002,6.2
DS,2006,7.1
PC,1998,8.3
GC,2003,8.2
Wii,,6.3
PC,1994,
3DS,2013,
X360,2011,8.5
Wii,2010,7.1
PSP,2005,7.8
PS,2002,
DS,2006,5.2
Wii,2007,7.1
PS4,2014,6.1
GBA,2001,
X360,2009,7.9
PSP,2010,8.9
Wii,2010,
Wii,2009,
GBA,2005,
GBA,2004,tbd
PS,1998,9.2
PSP,2010,8.6
X360,2010,
PS2,2003,8.8
X360,2007,7.1
GC,2002,8.8
PS3,2010,
X360,2014,5.5
PS3,2008,5.9
DS,2010,
GEN,1992,
PS2,2006,9
PS2,2005,8.2
PS3,2007,6
GBA,2003,8.9
X360,2011,8.2
X360,2007,
N64,1998,
DS,2008,3.3
PS2,2003,7.7
X360,2005,8.1
Wii,2008,7.7
DS,2005,8.1
