"unitid","institution name","year","EF2012D_RV.Full-time fall 2011 cohort","EF2012D_RV.Full-time retention rate, 2012","EF2012D_RV.Part-time fall 2011 cohort","EF2012D_RV.Part-time retention rate, 2012","DRVEF2012_RV.Total  enrollment","EF2012D_RV.Student-to-faculty ratio","F1112_F1A_RV.Tuition and fees, after deducting discounts and allowances","F1112_F1A_RV.Federal operating grants and contracts","F1112_F1A_RV.State operating grants and contracts","F1112_F1A_RV.Local/private operating grants and contracts","F1112_F1A_RV.Sales and services of auxiliary enterprises","F1112_F1A_RV.Sales and services of educational activities","F1112_F1A_RV.Federal appropriations","F1112_F1A_RV.State appropriations","F1112_F1A_RV.Local appropriations, education district taxes, and similar support","F1112_F1A_RV.Federal nonoperating grants","F1112_F1A_RV.State nonoperating grants","F1112_F1A_RV.Local nonoperating grants","F1112_F1A_RV.Gifts, including contributions from affiliated organizations","F1112_F1A_RV.Total all revenues and other additions","F1112_F1A_RV.Instruction - Current year total","F1112_F1A_RV.Research - Current year total","F1112_F1A_RV.Public service - Current year total","F1112_F1A_RV.Academic support - Current year total","F1112_F1A_RV.Student services - Current year total","F1112_F1A_RV.Institutional support - Current year total","F1112_F1A_RV.Scholarships and fellowships expenses -- Current year total","F1112_F1A_RV.Auxiliary enterprises -- Current year total","F1112_F1A_RV.Total expenses  deductions - Current year total","DRVGR2012_RV.Graduation rate, total cohort","DRVGR2012_RV.Graduation rate, American Indian or Alaska Native","DRVGR2012_RV.Graduation rate, Asian","DRVGR2012_RV.Graduation rate, Native Hawaiian or Other Pacific Islander","DRVGR2012_RV.Graduation rate, Black, non-Hispanic","DRVGR2012_RV.Graduation rate, Hispanic","DRVGR2012_RV.Graduation rate, White, non-Hispanic","DRVGR2012_RV.Graduation rate, Nonresident alien","DRVGR2012_RV.Graduation rate - bachelor's degree within 4 years, total","DRVGR2012_RV.Graduation rate - bachelor's degree within 5 years, total","DRVGR2012_RV.Graduation rate - bachelor's degree within 6 years, total"
"190512","CUNY Bernard M Baruch College","2012","1301","92","10","60","17373","17","100999207","2135483","20111894","8146482","1944418","0","0","57888683","131500","29782912","0","0","261544","266521870","117766850","2769682","74852","23833803","28615505","49198801","23352625","3634263","263257293","63","100","68",,"45","54","65","67","33","56","63"
"190549","CUNY Brooklyn College","2012","1139","84","14","79","16524","14","61035895","9363747","18848177","4447476","779975","0","0","88168415","144500","30749693","0","0","1398998","267508764","114006226","10390094","745443","23006207","31718595","55112105","18770419","3096832","273775661","53","100","51",,"54","40","58","52","27","46","54"
"190558","College of Staten Island CUNY","2012","751","81","18","67","14321","19","43845852","2763244","18593410","3740292","3781057","0","0","60652762","5556000","26273386","0","0","29880","195660425","82296395","4525710","1868796","12795196","18995186","44132771","15680047","5363341","194419045","27",,"29",,"14","21","30","25","24","42","47"
"190567","CUNY City College","2012","1501","84","16","50","16023","12","55419307","39692760","23335874","15685345","554966","0","0","118141676","453000","31064308","0","0","648865","387712820","146161761","44262576","3077323","29657457","20578287","62597994","28481540","2493629","364331978","42",,"51",,"44","35","45","39","7","31","42"
"190594","CUNY Hunter College","2012","2130","86","47","60","23005","12","105441198","30171549","27206059","15539643","2847689","0","0","102800556","355000","30102706","0","0","1490529","355601175","154788863","31906722","4985861","31320247","29024203","63485017","23093309","4042728","346621819","46","50","54",,"36","45","45","44","19","38","46"
"190600","CUNY John Jay College of Criminal Justice","2012","1745","78","21","57","14996","18","46209118","8044992","22392606","7500346","682802","0","0","64934104","5517054","33252681","0","0","226377","279823734","96491196","6852636","601907","17296830","21078723","45279959","23013634","4827058","239302524","33","27","40",,"35","29","34","41","21","39","43"
"190637","CUNY Lehman College","2012","608","82","18","67","11862","13","42191219","12300793","14184614","5700986","994000","0","0","67139923","107000","24914772","0","0","3449","199386047","84089577","3934404","3563089","21000505","17637578","30466268","16484358","3057897","189013739","35","0","32",,"32","36","41","37","14","30","35"
"190646","CUNY Medgar Evers College","2012","87","66","6","67","6540","19","10864118","3786552","13210956","5843141","152747","0","0","40818015","3103649","20125098","0","0","300078","138077948","47210002","1131729","3274649","10701801","12370135","27321357","10445667","2208109","125006244","12",,"10",,"11","8","25","20","5","13","17"
"190655","CUNY New York City College of Technology","2012","187","77","6","100","16207","17","34540741","4240187","30965226","4083936","477828","0","0","48455348","9183000","41256152","0","0","981","187051808","90622552","315891","371542","13424952","15264823","35023336","23248998","2373276","189132969","14","50","21",,"9","13","16","17","5","16","23"
"190664","CUNY Queens College","2012","1419","87","25","56","20100","15","80714324","15072199","17089888","10664455","8668174","456915","0","84779636","50000","26827502","0","0","941177","311007776","125244739","21840567","1905477","24885104","37596068","62152246","14892060","11840363","319176403","55","100","54",,"47","47","61","44","26","48","55"
"190691","CUNY York College","2012","928","77","23","70","8420","20","19370724","3400474","14143023","2263349","509176","0","0","41417741","148500","19837136","0","0","59808","120848894","48083154","1494408","1241046","9954817","11310172","27449368","13067529","1980428","122811437","26","0","22",,"29","24","20","27","4","17","26"
