"unitid","institution name","year","EF2013D_RV.Full-time fall 2012 cohort","EF2013D_RV.Full-time retention rate, 2013","EF2013D_RV.Part-time fall 2012 cohort","EF2013D_RV.Part-time retention rate, 2013","DRVEF2013_RV.Total  enrollment","EF2013D_RV.Student-to-faculty ratio","F1213_F1A_RV.Tuition and fees, after deducting discounts and allowances","F1213_F1A_RV.Federal operating grants and contracts","F1213_F1A_RV.State operating grants and contracts","F1213_F1A_RV.Local/private operating grants and contracts","F1213_F1A_RV.Sales and services of auxiliary enterprises","F1213_F1A_RV.Sales and services of educational activities","F1213_F1A_RV.Federal appropriations","F1213_F1A_RV.State appropriations","F1213_F1A_RV.Local appropriations, education district taxes, and similar support","F1213_F1A_RV.Federal nonoperating grants","F1213_F1A_RV.State nonoperating grants","F1213_F1A_RV.Local nonoperating grants","F1213_F1A_RV.Gifts, including contributions from affiliated organizations","F1213_F1A_RV.Total all revenues and other additions","F1213_F1A_RV.Instruction - Current year total","F1213_F1A_RV.Research - Current year total","F1213_F1A_RV.Public service - Current year total","F1213_F1A_RV.Academic support - Current year total","F1213_F1A_RV.Student services - Current year total","F1213_F1A_RV.Institutional support - Current year total","F1213_F1A_RV.Scholarships and fellowships expenses -- Current year total","F1213_F1A_RV.Auxiliary enterprises -- Current year total","F1213_F1A_RV.Total expenses  deductions - Current year total","DRVGR2013_RV.Graduation rate, total cohort","DRVGR2013_RV.Graduation rate, American Indian or Alaska Native","DRVGR2013_RV.Graduation rate, Asian","DRVGR2013_RV.Graduation rate, Native Hawaiian or Other Pacific Islander","DRVGR2013_RV.Graduation rate, Black, non-Hispanic","DRVGR2013_RV.Graduation rate, Hispanic","DRVGR2013_RV.Graduation rate, White, non-Hispanic","DRVGR2013_RV.Graduation rate, Nonresident alien","DRVGR2013_RV.Graduation rate - Bachelor degree within 4 years, total","DRVGR2013_RV.Graduation rate - Bachelor degree within 5 years, total","DRVGR2013_RV.Graduation rate - Bachelor degree within 6 years, total"
"190512","CUNY Bernard M Baruch College","2013","1171","88","14","64","17505","16","97172191","1890695","18967058","6740935","0","0","0","57158534","258800","29499182","0","0","4169","232565902","122821679","1961313","14833","22290659","28569581","51878946","20630869","1047176","250636656","67",,"73",,"56","58","64","77","39","60","67"
"190549","CUNY Brooklyn College","2013","1140","86","8","50","17004","14","59524269","8005364","17927944","3633606","50195","0","0","87961863","46000","29825582","0","0","2010737","251032489","117522438","9052245","658260","22562409","28670165","55279919","17168209","1121127","253296026","51",,"50",,"51","37","57","48","24","44","51"
"190558","College of Staten Island CUNY","2013","782","83","20","65","14441","18","45350888","3337101","18550598","3441997","157385","0","0","64655989","5611000","27232419","0","0","5171","178077929","91161363","4006448","1741186","11784061","18916537","43671967","15748203","831879","188744063","29","0","35",,"12","23","32","38","27","46","51"
"190567","CUNY City College","2013","1381","87","16","56","15331","11","54848042","40498082","23637443","15100354","201371","0","0","125593495","1153436","30523747","0","0","1608298","451304206","163046668","47544560","3835010","36881845","21472550","77978416","28459179","1712767","383113772","42","50","44",,"45","39","43","40","9","32","42"
"190594","CUNY Hunter College","2013","1924","87","47","64","23019","12","109035332","27357057","23870787","15906908","2458843","0","0","106677595","629318","31509610","0","0","1937738","359426998","161571146","29908169","4894901","31518200","28209218","64484472","22139744","2530914","346443959","50",,"54",,"53","45","51","43","22","42","50"
"190600","CUNY John Jay College of Criminal Justice","2013","1891","78","17","35","15010","18","48285560","7578282","21414737","10678495","0","0","0","65125445","9014695","33440853","0","0","6000","242417355","103804802","6820049","485238","23415085","24262026","71587264","22527231","3995285","267553057","34","38","40",,"33","31","36","39","25","39","43"
"190637","CUNY Lehman College","2013","535","81","16","63","12085","14","35175021","8936738","13075359","6684988","0","0","0","68432350","736134","22784360","0","0","2214","188011063","88993470","3808001","2282617","21176834","17625378","36786617","12187073","1359795","184934479","37","0","37",,"35","38","42","32","15","30","37"
"190646","CUNY Medgar Evers College","2013","68","65","5","60","6491","25","12209523","3060299","10626197","4984506","0","0","0","42575696","3742118","18399626","0","0","214093","110192934","50131211","1323531","2906207","11595702","13933179","34794345","9950856","1576395","127165637","10",,"13",,"9","5","33","33","5","12","15"
"190655","CUNY New York City College of Technology","2013","235","77","8","88","16860","20","39129534","4489758","34329141","2768512","0","0","0","53362541","9312600","41865289","0","0","154114","228311392","104477083","488198","658033","13417854","13855965","34329065","23559029","651266","191845495","14","0","21",,"11","14","16","19","3","20","25"
"190664","CUNY Queens College","2013","1427","84","22","68","18974","13","77254265","14078748","17922313","11789717","1181536","0","0","82802609","125200","27724370","0","0","860070","258770979","129375688","19952328","1618235","20909392","32595398","58486379","12331351","1958444","278506830","56","50","56",,"50","50","61","52","25","47","56"
"190691","CUNY York College","2013","1087","74","22","64","8307","20","20882444","3209119","15325828","1006147","0","0","0","42460902","677120","20533358","0","0","0","111414768","51471088","1137664","1123302","9588488","10675397","27608122","13439000","645283","116175113","26","100","26",,"27","22","28","35","5","20","26"
