"unitid","institution name","year","EF2016D_RV.Full-time fall 2015 cohort","EF2016D_RV.Full-time retention rate, 2016","EF2016D_RV.Part-time fall 2015 cohort","EF2016D_RV.Part-time retention rate, 2016","DRVEF2016_RV.Total  enrollment","EF2016D_RV.Student-to-faculty ratio","F1516_F1A_RV.Tuition and fees, after deducting discounts and allowances","F1516_F1A_RV.Federal operating grants and contracts","F1516_F1A_RV.State operating grants and contracts","F1516_F1A_RV.Local/private operating grants and contracts","F1516_F1A_RV.Sales and services of auxiliary enterprises","F1516_F1A_RV.Sales and services of educational activities","F1516_F1A_RV.Federal appropriations","F1516_F1A_RV.State appropriations","F1516_F1A_RV.Local appropriations, education district taxes, and similar support","F1516_F1A_RV.Federal nonoperating grants","F1516_F1A_RV.State nonoperating grants","F1516_F1A_RV.Local nonoperating grants","F1516_F1A_RV.Gifts, including contributions from affiliated organizations","F1516_F1A_RV.Total all revenues and other additions","F1516_F1A_RV.Instruction - Current year total","F1516_F1A_RV.Research - Current year total","F1516_F1A_RV.Public service - Current year total","F1516_F1A_RV.Academic support - Current year total","F1516_F1A_RV.Student services - Current year total","F1516_F1A_RV.Institutional support - Current year total","F1516_F1A_RV.Scholarships and fellowships expenses -- Current year total","F1516_F1A_RV.Auxiliary enterprises -- Current year total","F1516_F1A_RV.Total expenses and deductions - Current year total","DRVGR2016_RV.Graduation rate, total cohort","DRVGR2016_RV.Graduation rate, American Indian or Alaska Native","DRVGR2016_RV.Graduation rate, Asian","DRVGR2016_RV.Graduation rate, Native Hawaiian or Other Pacific Islander","DRVGR2016_RV.Graduation rate, Black, non-Hispanic","DRVGR2016_RV.Graduation rate, Hispanic","DRVGR2016_RV.Graduation rate, White, non-Hispanic","DRVGR2016_RV.Graduation rate, Nonresident alien","DRVGR2016_RV.Graduation rate - Bachelor degree within 4 years, total","DRVGR2016_RV.Graduation rate - Bachelor degree within 5 years, total","DRVGR2016_RV.Graduation rate - Bachelor degree within 6 years, total"
"190512","CUNY Bernard M Baruch College","2016","1468","91","9","56","18286","17","103686818","2707862","19392936","8140212","0","0","0","86988974","1133181","33072100","0","0","17464","283811540","183383096","3031697","93295","25922335","31401071","42372023","15387314","1601860","303696680","66","100","72",,"58","55","63","67","38","62","66"
"190549","CUNY Brooklyn College","2016","1327","82","13","46","17580","15","62692013","8307110","22828399","8247601","23496","0","0","112996145","937987","34789327","0","0","1254408","306724464","164267301","12455514","1102594","27108600","30601540","42776450","18287225","1824240","299023420","51","0","52",,"39","47","56","38","25","44","51"
"190558","College of Staten Island CUNY","2016","714","80","7","57","13520","17","43392344","2797461","21176910","5247559","272945","0","0","79002510","6421486","27704309","0","0","8539","214480519","126338720","4655707","1442848","15379474","22625321","29832400","14623483","1331931","216440369","31","22","32",,"18","23","35","34","21","39","46"
"190567","CUNY City College","2016","1607","86","23","57","16048","12","53505688","37182106","26029789","19671707","168859","0","0","160727266","1267997","32760779","0","0","713193","477039857","241057733","63149943","6609675","37538769","22587494","48173823","28106717","3577250","454010251","47",,"49",,"53","45","46","36","13","37","47"
"190594","CUNY Hunter College","2016","2168","85","32","75","22993","11","112564776","22634142","26763447","24906976","4235055","0","0","132977926","1522800","35369001","0","0","601212","407138354","219832279","30820910","6829526","33334804","32570576","54969563","23546909","8698860","416790147","53","0","57",,"52","50","54","47","24","48","53"
"190600","CUNY John Jay College of Criminal Justice","2016","1479","77","10","50","14430","16","49449433","8353588","23594334","17493418","0","0","0","82910453","3274367","34105136","0","0","43322","279327500","162228289","8732555","1282448","31066556","28328847","32147547","20870265","3468847","288771483","44","60","43",,"44","44","42","53","21","38","44"
"190637","CUNY Lehman College","2016","610","86","22","59","13329","15","43047833","8327723","17921038","8621951","130518","0","0","84701224","400400","28013081","0","0","1509","231895024","128714312","5382173","4267968","21153092","19292987","23930362","16444814","2417341","221932050","44",,"48",,"39","44","40","51","19","37","44"
"190646","CUNY Medgar Evers College","2016","107","66","11","45","6819","20","12821601","3308192","12294084","10174268","0","0","0","54962379","3287000","19287792","0","0","59788","135159217","73057278","1814588","2810143","21870803","14416011","18044698","10330269","966201","143937018","13","33","14",,"13","9","10","32","4","14","17"
"190655","CUNY New York City College of Technology","2016","559","77","12","58","17282","17","39441916","4319082","38259779","6993898","0","0","0","72838764","10052155","42418668","0","0","72620","302645476","142527260","729424","173082","15299343","16486799","32984541","24058217","1097147","233476762","16","23","21",,"12","15","20","13","6","18","25"
"190664","CUNY Queens College","2016","1536","84","11","64","19632","14","79817585","15489544","22454102","15693690","0","0","0","105860772","845600","31661449","0","0","1015331","321765460","179132655","23198505","5065195","28260592","30520894","43295261","18407712","3012946","331546171","60","100","55",,"50","53","67","52","31","52","60"
"190691","CUNY York College","2016","995","73","35","60","8360","18","22290167","3126029","13552648","2615680","0","0","0","55697781","321821","19020998","0","0","9849","134784267","73259233","1355834","1788226","11249320","13051178","22843241","10577195","1222390","135562343","30","47","29",,"33","29","28","25","7","22","30"
