"unitid","institution name","year","EF2022D.Full-time fall 2021 cohort","EF2022D.Full-time retention rate, 2022","EF2022D.Part-time fall 2021 cohort","EF2022D.Part-time retention rate, 2022","DRVEF2022.Total  enrollment","EF2022D.Student-to-faculty ratio","F2122_F1A.Tuition and fees, after deducting discounts and allowances","F2122_F1A.Federal operating grants and contracts","F2122_F1A.State operating grants and contracts","F2122_F1A.Local/private operating grants and contracts","F2122_F1A.Sales and services of auxiliary enterprises","F2122_F1A.Sales and services of educational activities","F2122_F1A.Federal appropriations","F2122_F1A.State appropriations","F2122_F1A.Local appropriations, education district taxes, and similar support","F2122_F1A.Federal nonoperating grants","F2122_F1A.State nonoperating grants","F2122_F1A.Local nonoperating grants","F2122_F1A.Gifts, including contributions from affiliated organizations","F2122_F1A.Total all revenues and other additions","F2122_F1A.Instruction - Current year total","F2122_F1A.Research - Current year total","F2122_F1A.Public service - Current year total","F2122_F1A.Academic support - Current year total","F2122_F1A.Student services - Current year total","F2122_F1A.Institutional support - Current year total","F2122_F1A.Scholarships and fellowships expenses -- Current year total","F2122_F1A.Auxiliary enterprises -- Current year total","F2122_F1A.Total expenses and deductions - Current year total","DRVGR2022.Graduation rate, total cohort","DRVGR2022.Graduation rate, American Indian or Alaska Native","DRVGR2022.Graduation rate, Asian","DRVGR2022.Graduation rate, Native Hawaiian or Other Pacific Islander","DRVGR2022.Graduation rate, Black, non-Hispanic","DRVGR2022.Graduation rate, Hispanic","DRVGR2022.Graduation rate, White, non-Hispanic","DRVGR2022.Graduation rate, U.S. Nonresident","DRVGR2022.Graduation rate - Bachelor degree within 4 years, total","DRVGR2022.Graduation rate - Bachelor degree within 5 years, total","DRVGR2022.Graduation rate - Bachelor degree within 6 years, total"
"190512","CUNY Bernard M Baruch College","2022","2514","84","18","22","19854","19","90336457","2266333","579722","4730266","0","0","0","81488632","3472480","89955818","28087771","48804","3857455","373258187","197646818","3751724","1936703","32175761","33999644","48426511","42567426","2494145","396875694","74","100","81","50","56","74","69","71","51","70","74"
"190549","CUNY Brooklyn College","2022","1533","77","21","57","14195","13","50673882","6270478","1403347","4640576","7381","0","0","120304024","2230166","95368829","21953410","3137669","2221833","374547122","176823118","12280129","1971477","30251101","29082166","38874171","40643488","2487137","362900180","55","100","59","50","53","50","58","32","32","49","55"
"190558","College of Staten Island CUNY","2022","1181","69","32","41","10248","16","34108993","3326396","1856901","4720431","5876","0","0","74502860","14283999","67195062","16046046","112482","1255946","259853053","122660408","6008449","1028134","16779090","21327662","32583641","31542128","1722201","266644521","35","22","43","67","22","32","45","33","30","46","51"
"190567","CUNY City College","2022","2438","75","127","48","14489","14","48156284","36483765","4289665","30239454","0","0","0","165864863","3643232","81364860","23900126","1175371","3941938","708868179","294666831","92891280","13423101","54099672","33193768","52091168","44037052","5643332","662798904","59","67","62","20","65","55","54","64","26","51","59"
"190594","CUNY Hunter College","2022","3232","80","89","67","22970","14","100613076","19303108","3019931","19970828","3213315","0","0","130260905","3174688","110415413","33043347","2798512","5670229","461773446","211040622","34649472","8302764","22332983","30589606","60876537","49694133","9096077","445896174","56","67","59","42","47","53","59","62","33","52","56"
"190600","CUNY John Jay College of Criminal Justice","2022","1750","76","20","40","13921","16","44847091","7283722","731828","14657110","27529","0","0","87639210","8102733","84013637","24221262","21361","1037797","439567908","192735331","14393140","9355111","46435246","26031800","37228703","38865743","4188155","422563821","54","60","59","44","52","53","53","49","37","50","54"
"190637","CUNY Lehman College","2022","1548","71","33","48","13015","15","35671938","9114416","1343780","12029462","0","0","0","97029772","2653067","86683852","18903159","1604917","515650","330582740","160136878","8550402","6389840","19966651","19922104","29600550","35328379","2992923","294686656","54","25","58","100","55","52","51","76","27","48","54"
"190646","CUNY Medgar Evers College","2022","307","40","12","25","3640","13","4834282","1444744","1546786","6692458","0","0","0","57997441","8073626","40518025","4928402","4900","378641","192537308","79544880","2111568","1751520","19747598","15314644","18610006","16640203","1362621","201756917","24","20","40",,"25","19","11","26","10","20","22"
"190655","CUNY New York City College of Technology","2022","757","61","52","52","13087","15","22719292","2805579","4948450","2977599","0","0","0","88524171","16786550","92868482","18263625","26928","686537","305568495","145629588","1894768","1864181","13937128","17748519","32381403","41728930","1284441","267664333","21","15","27","62","18","19","25","28","9","24","30"
"190664","CUNY Queens College","2022","2041","77","59","63","17001","14","57767622","16509294","826469","9832409","0","0","0","107195776","2747529","92968938","21961305","402604","3626404","387224298","175254668","24823236","6361464","25009796","25812075","47265892","37330953","6289238","384960048","56","38","58","67","51","48","64","49","30","50","56"
"190691","CUNY York College","2022","841","61","57","39","6446","14","14144152","2655817","2158696","2616794","0","0","0","60803408","1111096","40245557","8392850","27364","49974","163975001","74837948","2761302","2372163","11035364","15463831","20399193","16711931","1664505","159791888","33","88","32","90","32","32","42","30","12","28","33"
